"I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"7881","","2008","5","25","8","21"," 48.7","10"," 6.0"," 6.0"," 6.0"," 5.8","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  32.570","  105.424","30","       8","1","","","       927","3","","4","400000","4","400000","4","       8","1","","","927","3","","4","400000","4","",""
"8125","","2008","6","6","20","2"," 56.8","4"," 5.5"," 5.5"," 5.3"," 5.5","","","","","ALGERIA","","ALGERIA:  ORAN","  35.883","    -.658","15","       1","1","","","        30","1","","2","","2","","2","       1","1","","","30","1","","2","","2","",""
"7925","","2008","6","8","12","25"," 29.7","16"," 6.3"," 6.3"," 6.3"," 6.2","","","","","GREECE","","GREECE:  ACHAIA, ILEIA","  37.963","   21.525","130","       2","1","","","       240","3","","3","1156","4","","","       2","1","","","240","3","","3","1156","4","",""
"7907","","2008","6","13","23","43"," 45.3","8"," 6.9"," 6.9"," 7.0"," 6.5","","","","","JAPAN","","JAPAN:  HONSHU:  TOKYO","  39.030","  140.881","30","      13","1","","","       357","3","","3","","","614","3","      13","1","","","357","3","","3","","","614","3"
"8163","","2008","7","8","9","13","  7.4","123"," 6.2"," 6.2",""," 5.8","","","","","PERU","","PERU:  AREQUIPA"," -15.986","  -71.748","160","       1","1","","","","","","1","","","","2","       1","1","","","","","","1","","","","2"
"8164","","2008","7","23","15","26"," 19.9","108"," 6.8"," 6.8",""," 6.6","","","","","JAPAN","","JAPAN:  HONSHU:  N","  39.802","  141.464","30","       1","1","","","       200","3","","2","90","2","90","2","       1","1","","","200","3","","2","","","90","2"
"8165","","2008","7","24","7","9"," 30.0","10"," 5.6"," 5.6"," 5.4"," 5.6","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  32.747","  105.542","30","       1","1","","","        17","1","","3","1200","4","1200","4","       1","1","","","17","1","","3","1200","4","",""
"8168","","2008","8","5","9","49"," 17.2","6"," 6.0"," 6.0"," 6.0"," 5.9","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  32.756","  105.494","30","       4","1","","","        29","1","","1","","","","","       4","1","","","29","1","","1","","","","1"
"8172","","2008","8","21","12","24"," 29.5","1"," 6.0"," 6.0"," 5.9"," 5.6","","","","","CHINA","","CHINA:  YUNNAN PROVINCE","  25.044","   97.684","30","       5","1","","","       127","3","","3","","","","","       5","1","","","127","3","","3","","","",""
"8132","","2008","8","30","8","30"," 54.0","17"," 5.9"," 5.9"," 5.8"," 5.7","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  26.272","  101.937","30","      43","1","","","       589","3","","4","392000","4","392000","4","      43","1","","","589","3","","4","392000","4","",""
"8185","","2008","9","9","3","7"," 27.5","25"," 5.4","",""," 5.4","","","","","INDONESIA","","INDONESIA:  SUMATRA:  SOUTHERN","  -3.935","  103.058","60","       2","1","","","","","","2","","","","","       2","1","","","","","","2","","","113","3"
"8133","","2008","9","10","11","0"," 34.0","12"," 6.1"," 6.1"," 6.0"," 6.1","","","","","IRAN","","IRAN:  HORMOZGAN PROVINCE","  26.743","   55.828","140","       7","1","","","        45","1","","3","","3","","3","       7","1","","","45","1","","3","","3","","3"
"8186","","2008","9","16","21","47"," 14.5","10"," 5.0","",""," 5.0","","","","","INDIA","","INDIA:  MAHARASHTRA","  17.438","   73.915","60","       1","1","","","        20","1","","3","","","","","       1","1","","","20","1","","3","","","1500","4"
"8160","","2008","10","5","15","52"," 49.4","27"," 6.6"," 6.6"," 6.9"," 6.4","","","","","KYRGYZSTAN","","KYRGYZSTAN: NURA","  39.533","   73.824","40","      74","2","","","       140","3","","2","","2","","","      74","2","","","140","3","","2","","2","",""
"8161","","2008","10","6","8","30"," 45.5","12"," 6.3"," 6.3"," 6.2"," 6.0","","","","","CHINA","","CHINA:  TIBET (XIZANG PROVINCE)","  29.807","   90.350","40","       9","1","","","        19","1","","2","","3","","","       9","1","","","19","1","","2","","3","",""
"8162","","2008","10","11","9","6"," 10.7","16"," 5.7"," 5.7"," 5.5"," 5.6","","","","","RUSSIA","","RUSSIA:  CAUCASUS:  CHECHNYA","  43.372","   46.254","40","      13","1","","","       100","2","","3","","","1027","4","      13","1","","","100","2","","3","","","1027","4"
"8177","","2008","10","28","23","9"," 57.6","15"," 6.4"," 6.4"," 6.6"," 6.3","","","","","PAKISTAN","","PAKISTAN:  QUETTA","  30.639","   67.351","60","     166","3","","","       370","3","","4","3487","4","3487","4","     166","3","","","370","3","","4","3487","4","4125","4"
"8191","Tsu","2008","11","16","17","2"," 32.7","30"," 7.3"," 7.3"," 7.0"," 6.5","","","","","INDONESIA","","INDONESIA:  MINAHASSA PENINSULA","   1.271","  122.091","170","       6","1","","","        77","2","","3","","","1000","3","       6","1","","","77","2","","3","","","1000","3"
"8208","","2008","11","22","22","27"," 55.1",""," 4.1","","","","4.1","","","","CZECH REPUBLIC","","CZECH REPUBLIC:  KARVINA","  49.914","   18.455","110","       2","1","","","         3","1","","1","","","","","       2","1","","","3","1","","1","","","",""
"8254","","2008","12","9","18","53"," 11.1","25"," 4.5",""," 4.5"," 5.5","","","","","CHINA","","CHINA:  SICHUAN PROVINCE","  32.518","  105.395","30","       2","1","","","         3","1","","","","","","","       2","1","","","3","1","","","","","",""
"8204","Tsu","2009","1","3","19","43"," 50.6","17"," 7.6"," 7.6"," 7.5"," 6.6","","","","","INDONESIA","","PAPUA NEW GUINEA:  NEAR NORTH COAST","   -.414","  132.885","170","       5","1","","","       250","3","","3","","","840","3","       5","1","","","250","3","","3","","","840","3"
"8210","","2009","1","8","19","21"," 35.6","14"," 6.1"," 6.1"," 6.0"," 5.7","","","","","COSTA RICA","","COSTA RICA:  LA PAZ","  10.165","  -84.197","100","      23","1","17","1","       100","2","","3","518","3","","","      23","1","17","1","100","2","","3","518","3","",""
"8264","","2009","4","6","1","32"," 39.0","9"," 6.3"," 6.3"," 6.2"," 5.6","","","","","ITALY","","ITALY:  L'AQUILA","  42.334","   13.334","130","     309","3","","","      1500","4","    2500.000","4","15000","4","","","     309","3","","","1500","4","    2500.000","4","15000","4","",""
"8277","","2009","4","7","17","47"," 37.0","15"," 5.5"," 5.5"," 5.4"," 5.4","","","","","ITALY","","ITALY:  L'AQUILA","  42.275","   13.464","130","       1","1","","","","","","1","","","","1","       1","1","","","","","","1","","","","1"
"8318","","2009","4","16","21","27"," 51.3","6"," 5.4","",""," 5.4","","","","","AFGHANISTAN","","AFGHANISTAN:  NANGARHAR","  34.185","   70.076","40","      19","1","","","        51","2","","2","200","3","200","3","      19","1","","","51","2","","2","200","3","",""
"8297","Tsu","2009","5","28","8","24"," 45.0","10"," 7.3"," 7.3"," 7.2"," 6.7","","","","","HONDURAS","","HONDURAS:  NORTHERN; BELIZE","  16.720","  -86.236","90","       7","1","","","        40","1","","2","135","3","25","1","       7","1","","","40","1","","2","135","3","25","1"
