"I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","LATITUDE","LONGITUDE","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"10164","Tsu","2015","11","17","7","10","  8.0","11"," 6.5"," 6.5","","","","","","","GREECE","","GREECE:  LEFKADA, KEFALONIA, ITHACA","  38.755","   20.552","130","       2","1","","","         4","1","","2","1","1","","2","       2","1","","","4","1","","2","1","1","","2"
"10168","","2015","12","7","7","50","  6.0","26"," 7.2"," 7.2","","","","","","","TAJIKISTAN","","TAJIKISTAN","  38.258","   72.767","40","       2","1","","","","3","","3","500","3","","","       2","1","","","","3","","3","500","3","",""
"10169","","2015","12","25","19","14"," 47.0","203"," 6.3"," 6.3","","","","","","","AFGHANISTAN","","AFGHANISTAN:  HINDU KUSH:  NANGARHAR; PAKISTAN","  36.500","   71.132","40","       2","1","","","        97","2","","1","","1","","1","       2","1","","","97","2","","1","","1","","1"
"10170","","2016","1","3","23","5"," 22.0","55"," 6.7"," 6.7","","","","","","","INDIA","","INDIA:  IMPAHL","  24.834","   93.656","60","      13","1","","","       100","2","","1","","","","2","      13","1","","","100","2","","1","","","","2"
"10174","","2016","2","5","19","57"," 27.0","23"," 6.4"," 6.4","","","","","","","TAIWAN","","TAIWAN:  TAINAN","  22.939","  120.593","30","     116","3","","","       525","3","","3","","","","","     116","3","","","525","3","","3","","","",""
"10186","","2016","4","10","10","28"," 58.0","212"," 6.6"," 6.6","","","","","","","AFGHANISTAN","","AFGHANISTAN:  KHYBER PAKHTUNKHWA","  36.472","   71.131","40","       6","1","","","         5","1","","1","","","20","1","       6","1","","","5","1","","1","","","20","1"
"10177","","2016","4","15","16","25","  6.0","10"," 7.0"," 7.0","","","","","","","JAPAN","","JAPAN:  KUMAMOTO, OITA","  32.782","  130.726","30","      50","1","","","      1500","4","    4600.000","4","80000","4","","","      50","1","","","1500","4","    4600.000","4","80000","4","",""
"10176","","2016","4","16","23","58"," 36.0","21"," 7.8"," 7.8","","","","","","","ECUADOR","","ECUADOR:  NEAR WEST COAST:  PUERTO LOPEZ, SALANGO","    .382","  -79.922","160","     662","3","9","1","      6274","4","","","6998","4","2740","4","     662","3","9","1","6274","4","","","6998","4","2740","34"
"10181","","2016","5","18","16","46"," 11.0","31"," 6.8"," 6.8","","","","","","","ECUADOR","","ECUADOR:  MANABI PROVINCE","    .465","  -79.641","160","       1","1","","","       162","3","","1","","1","32","1","       1","1","","","162","3","","1","","1","32","1"
"10191","","2016","8","15","2","58"," 59.0","10"," 5.4"," 5.4","","","","","","","PERU","","PERU:  AREQUIPA"," -15.613","  -71.671","160","       4","1","","","        67","2","","1","689","3","1291","3","       4","1","","","67","2","","1","689","3","1291","3"
"10194","","2016","8","24","1","36"," 33.0","10"," 6.2"," 6.2","","","","","","8","ITALY","","ITALY:  ACCUMOLI, ARQUATA, AMATRICE","  42.714","   13.172","130","     299","3","15","1","       368","3","","3","","3","","2","     299","3","15","1","368","3","","3","","3","","2"
"10195","","2016","8","24","10","34"," 55.0","84"," 6.8"," 6.8","","","","","","6","MYANMAR (BURMA)","","MYANMAR (BURMA): CHAUK","  20.919","   94.579","60","       3","1","","","        20","1","","2","","","200","3","       3","1","","","20","1","","2","","","200","2"
"10197","","2016","9","10","12","27"," 33.0","40"," 5.9"," 5.9","","","","","","","TANZANIA","","TANZANIA:  LAKE VICTORIA","  -1.030","   31.560","10","      19","1","","","       252","3","","3","1044","4","6281","4","      19","1","","","252","3","","3","1044","4","6281","4"
"10199","","2016","9","12","11","32"," 54.0","10"," 4.6"," 4.6","","","","","","","SOUTH KOREA","","SOUTH KOREA:  GYEONGJU","  35.769","  129.227","30","       1","1","","","        14","1","","1","","","106","3","       1","1","","","14","1","","1","","","106","3"
"10228","","2016","9","23","19","11"," 56.0","10"," 4.8",""," 4.8","","","","","","RWANDA","","RWANDA:  RISUZI; CONGO:  UKAVU","  -2.650","   29.060","10","       3","1","","","        25","1","","1","","1","","","       3","1","","","25","1","","1","","1","",""
"10229","","2016","10","1","8","4"," 34.0","10"," 5.4"," 5.4","","","","","","","PAKISTAN","","PAKISTAN:  MANSEHRA, NARAN","  34.905","   73.682","60","       1","1","","","","2","","1","","2","","","       1","1","","","","2","","1","","2","",""
"10201","","2016","10","26","19","18","  8.0","10"," 6.6"," 6.6","","","","","","","ITALY","","ITALY:  VISSO, USSITA","  42.934","   13.043","130","       1","1","","","","1","","1","","","1001","4","       1","1","","","","1","","1","","","1001","4"
"10206","Tsu","2016","11","13","11","2"," 56.0","53"," 7.8"," 7.8","","","","","","","NEW ZEALAND","","NEW ZEALAND:  AMBERLEY"," -42.757","  173.077","170","       2","1","","","","","","2","","","","1","       2","1","","","","","","2","1","1","","1"
"10230","","2016","11","27","23","35"," 21.0","10"," 5.4"," 5.4","","","","","","","NEPAL","","NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA","  27.806","   86.532","40","       1","1","","","         1","1","","1","2","1","","","       1","1","","","1","1","","1","2","1","",""
"10231","","2016","11","29","20","9"," 39.0","5","","","","","","","","","POLAND","","POLAND:  RUDNA","  51.613","   16.157","120","       8","1","","","         9","1","","1","","","","","       8","1","","","9","1","","1","","","",""
"10232","","2016","12","1","22","40"," 15.0","10"," 6.2"," 6.2","","","","","","","PERU","","PERU:  PUNO, LAMPA"," -15.294","  -70.823","160","       1","1","","","        17","1","","1","8","1","40","1","       1","1","","","17","1","","1","8","1","40","1"
"10215","","2016","12","6","22","3"," 32.0","8"," 6.5"," 6.5","","","","","","","INDONESIA","","INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA","   5.281","   96.108","60","     101","3","","","       600","3","","3","245","3","11922","4","     101","3","","","857","3","","3","245","3","11922","4"
"10218","","2016","12","8","17","38"," 46.0","41"," 7.8"," 7.8","","","","","","","SOLOMON ISLANDS","","SOLOMON ISLANDS"," -10.665","  161.335","170","       1","1","","","","","","1","191","3","126","3","       1","1","","","","","","1","191","3","126","3"
"10221","","2016","12","19","7","11"," 39.0","10"," 5.4"," 5.4","","","","","","","ECUADOR","","ECUADOR:  ESMERALDAS","    .816","  -79.740","160","       3","1","","","","","","1","10","1","65","1","       3","1","","","15","1","","1","10","1","65","1"
"",
